codicefiscale,dataora,nome,scadenza,quantita
561-74-9308,23/4/2022,Tuna - Loin,30/12/2020,74
419-24-3253,6/10/2021,"Syrup - Monin, Swiss Choclate",10/2/2021,5
286-32-7633,24/8/2021,Pork - Hock And Feet Attached,15/9/2021,30
246-37-9688,10/3/2022,Soup - Campbells Pasta Fagiol,8/6/2022,17
732-36-9004,28/12/2020,Lettuce Romaine Chopped,22/2/2022,93
569-74-4170,18/12/2020,Rambutan,18/12/2020,36
118-84-2246,7/12/2020,Kiwi Gold Zespri,26/8/2022,22
258-86-2540,8/5/2021,Rice - Basmati,6/1/2022,69
622-33-9001,25/5/2022,Beef - Rib Eye Aaa,27/7/2022,16
338-01-3387,9/7/2021,Raspberries - Frozen,30/9/2022,9
735-51-4274,30/12/2020,"Mushroom - Chantrelle, Fresh",20/9/2021,54
350-18-9287,12/8/2021,"Beef - Ox Tail, Frozen",25/1/2022,69
675-31-8177,6/12/2021,Soup - Campbells,4/2/2021,96
495-43-6967,26/3/2022,Appetizer - Cheese Bites,29/8/2021,50
711-63-0503,31/1/2021,Spinach - Spinach Leaf,16/3/2022,95
329-25-7239,20/5/2021,"Bread - Roll, Italian",16/12/2020,77
815-20-4120,14/3/2022,Ham Black Forest,19/4/2021,96
881-44-8050,2/5/2022,Sobe - Liz Blizz,4/12/2021,75
751-62-5360,4/9/2021,Tuna - Sushi Grade,25/12/2020,31
343-99-3304,3/12/2020,"Turkey - Breast, Boneless Sk ",30/11/2021,67
810-12-6306,14/1/2021,Kiwi,20/6/2022,15
491-98-0175,5/11/2021,Puree - Strawberry,20/9/2021,85
309-55-8123,24/11/2021,Potatoes - Idaho 80 Count,24/12/2020,88
877-20-7424,4/1/2022,"Juice - Orange, 341 Ml",28/7/2021,83
784-24-8313,9/1/2021,Beer - Muskoka Cream Ale,20/10/2021,87
534-74-1640,2/1/2021,Flour - All Purpose,28/4/2022,79
433-56-1685,12/3/2022,Canadian Emmenthal,28/4/2021,27
889-52-1120,4/11/2021,"Nut - Almond, Blanched, Whole",17/6/2021,37
599-98-8480,28/2/2021,Grenadillo,15/2/2022,66
131-01-6723,21/1/2022,Rabbit - Frozen,21/4/2021,38
432-72-7265,16/2/2022,Shrimp - 100 / 200 Cold Water,5/3/2021,73
867-72-9368,20/11/2021,Ginsing - Fresh,30/9/2022,71
544-31-9668,25/6/2021,"Yogurt - Strawberry, 175 Gr",15/3/2021,39
432-84-9053,21/3/2022,"Wine - Red, Cabernet Merlot",2/11/2021,47
594-43-8402,9/9/2021,Bread - Onion Focaccia,4/2/2021,93
782-03-1555,13/10/2021,Swiss Chard,3/11/2021,72
622-92-2826,23/3/2021,Wine - Crozes Hermitage E.,23/6/2022,6
593-04-7122,21/6/2021,Milk - Chocolate 500ml,11/7/2021,56
316-66-6642,12/1/2021,Bay Leaf Fresh,1/9/2022,93
591-98-6710,6/4/2021,Truffle Cups Green,11/4/2021,74
122-27-1680,24/8/2021,Parsley - Fresh,27/7/2021,89
753-92-9992,8/10/2020,Squash - Sunburst,11/8/2022,11
880-35-1306,22/10/2020,Cardamon Ground,15/10/2021,43
164-68-1325,29/7/2021,"Pasta - Spaghetti, Dry",16/1/2021,3
321-86-6917,15/12/2020,Wiberg Cure,7/8/2021,40
827-59-5617,3/8/2021,"Coconut - Shredded, Sweet",21/2/2022,52
692-33-7007,18/5/2021,Uniform Linen Charge,13/8/2021,34
634-70-0127,30/7/2021,Grapefruit - White,23/8/2021,18
627-73-3119,1/5/2021,Wine - Black Tower Qr,6/10/2022,76
365-96-7366,18/5/2022,Wine - Alsace Gewurztraminer,4/3/2022,14
490-67-7295,2/12/2020,Coffee - Dark Roast,8/5/2022,67
289-46-8677,9/12/2021,Sauce - Chili,4/10/2021,42
553-71-8412,17/8/2021,Sprite - 355 Ml,11/6/2021,74
202-66-2839,18/4/2021,Turkey - Ground. Lean,9/4/2022,49
398-97-1928,6/11/2020,"Soup - Campbells, Chix Gumbo",15/9/2022,14
418-27-2425,22/8/2021,Foil - 4oz Custard Cup,10/8/2022,63
129-70-9974,10/1/2022,"Mushroom - Oyster, Fresh",26/9/2022,69
414-69-0067,30/6/2022,Juice - Prune,11/3/2021,97
556-20-6158,18/8/2021,"Melon - Watermelon, Seedless",1/3/2022,51
378-42-3025,1/7/2021,Lemon Tarts,5/12/2021,66
866-63-2228,28/6/2021,Coffee - Almond Amaretto,27/2/2022,85
540-71-9846,13/11/2020,Sobe - Lizard Fuel,3/7/2022,41
897-32-5821,20/3/2022,Spice - Pepper Portions,15/12/2020,94
580-48-5304,24/6/2021,Truffle Shells - White Chocol,26/7/2022,31
451-82-4096,8/5/2022,Carbonated Water - Raspberry,11/12/2020,44
840-23-3858,25/5/2021,Turkey Tenderloin Frozen,18/10/2022,65
581-20-0248,19/4/2021,Flour - All Purpose,21/6/2022,19
841-62-4285,18/7/2021,Yeast Dry - Fermipan,30/12/2021,32
598-84-2863,19/1/2021,Muffin Hinge Container 6,8/12/2021,10
614-82-7275,26/6/2022,Cake - Night And Day Choclate,6/10/2021,73
