codicefiscale,numero
478-12-6473,2338561192
552-69-6836,4785499291
502-83-2611,3398737012
510-03-8229,8476353111
218-22-2802,9037443916
853-76-8585,9546366690
526-55-2396,5669000135
167-42-8437,9898092154
653-61-1735,6828844637
709-21-6573,6102460065
165-12-8816,5125282256
607-57-8993,2565665515
395-11-2290,6303236833
330-31-9749,7106229737
449-17-1321,5438250415
560-90-9842,5874093029
252-38-1779,7606365898
762-66-0992,1205642351
742-26-4208,3204714015
593-04-3380,7294724530
519-01-6332,8476730150
269-30-3864,8254528315
814-97-8336,1796541968
859-84-7203,3223827589
413-75-6052,9133329906
754-52-9836,1856429431
295-72-2013,4135406868
716-23-0436,2523661515
843-13-2896,7124838604
712-51-2958,6438963108
861-58-4085,6391859144
895-17-8385,6163441881
296-71-6970,8862608734
491-76-0722,2001023529
135-88-8818,8292015988
663-24-1678,2017536616
543-75-0738,8838143885
806-52-9577,4031877229
335-33-4852,3614062410
863-26-8865,7356126910
804-67-4372,6535813055
698-99-5042,2392471094
312-08-7053,2364352740
516-55-8231,2933619640
194-86-8372,8011060579
646-95-4880,7916488144
753-67-3964,4696473452
347-61-6374,8123169599
283-43-0895,3925869368
261-03-9792,7005310361
328-72-6247,3691799927
700-36-1910,7681256860
852-68-3731,6801013432
318-60-2273,9797081804
263-84-8915,7141446810
369-60-7621,3989251581
659-19-9414,6083624582
141-48-7688,7692040908
389-53-3606,2844529577
395-77-3934,4256717509
302-67-2366,2503233270
857-95-9739,5912847627
580-05-5713,7474218565
440-09-9098,3764487900
