codicefiscale,dataora,cfcliente,cfmembro,saldoiniziale,saldofinale
495-43-6967,11/7/2020,495-43-6967,495-43-6967,4,32
711-63-0503,13/4/2020,711-63-0503,711-63-0503,38,41
329-25-7239,27/1/2022,329-25-7239,329-25-7239,23,46
815-20-4120,2/1/2021,815-20-4120,815-20-4120,2,7
881-44-8050,17/11/2020,881-44-8050,881-44-8050,25,54
751-62-5360,17/11/2020,751-62-5360,751-62-5360,18,4
343-99-3304,3/4/2021,343-99-3304,343-99-3304,22,53
810-12-6306,17/12/2021,810-12-6306,810-12-6306,10,26
491-98-0175,22/8/2021,491-98-0175,491-98-0175,25,20
309-55-8123,21/7/2020,309-55-8123,309-55-8123,31,54
877-20-7424,28/5/2021,877-20-7424,877-20-7424,29,31
784-24-8313,24/7/2020,784-24-8313,784-24-8313,14,14
534-74-1640,2/10/2020,534-74-1640,534-74-1640,45,14
433-56-1685,19/12/2021,433-56-1685,433-56-1685,51,9
889-52-1120,7/5/2021,889-52-1120,889-52-1120,26,13
599-98-8480,28/8/2021,599-98-8480,599-98-8480,35,22
131-01-6723,30/12/2020,131-01-6723,131-01-6723,18,34
432-72-7265,18/10/2020,432-72-7265,432-72-7265,43,38
867-72-9368,9/4/2022,867-72-9368,867-72-9368,33,18
544-31-9668,31/12/2021,544-31-9668,544-31-9668,21,45
432-84-9053,24/5/2020,432-84-9053,432-84-9053,2,28
594-43-8402,11/3/2022,594-43-8402,594-43-8402,14,36
782-03-1555,6/2/2021,782-03-1555,782-03-1555,18,25
622-92-2826,2/7/2020,622-92-2826,622-92-2826,27,32
593-04-7122,22/5/2021,593-04-7122,593-04-7122,40,18
316-66-6642,1/10/2021,316-66-6642,316-66-6642,38,14
591-98-6710,1/6/2022,591-98-6710,591-98-6710,46,60
122-27-1680,13/1/2022,122-27-1680,122-27-1680,8,44
753-92-9992,9/4/2022,753-92-9992,753-92-9992,17,20
880-35-1306,12/2/2022,880-35-1306,880-35-1306,14,52
164-68-1325,13/9/2020,164-68-1325,164-68-1325,29,27
321-86-6917,14/8/2021,321-86-6917,321-86-6917,56,35
827-59-5617,18/3/2021,827-59-5617,827-59-5617,48,15
692-33-7007,25/4/2020,692-33-7007,692-33-7007,8,25
634-70-0127,25/3/2021,634-70-0127,634-70-0127,36,20
627-73-3119,4/4/2021,627-73-3119,627-73-3119,44,19
365-96-7366,29/6/2022,365-96-7366,365-96-7366,48,8
490-67-7295,19/10/2020,490-67-7295,490-67-7295,41,45
289-46-8677,4/6/2022,289-46-8677,289-46-8677,2,26
553-71-8412,15/7/2021,553-71-8412,553-71-8412,35,36
202-66-2839,15/3/2020,202-66-2839,202-66-2839,51,8
398-97-1928,16/1/2022,398-97-1928,398-97-1928,20,53
418-27-2425,9/6/2021,418-27-2425,418-27-2425,1,7
129-70-9974,19/12/2020,129-70-9974,129-70-9974,38,31
414-69-0067,21/11/2021,414-69-0067,414-69-0067,22,34
556-20-6158,19/5/2020,556-20-6158,556-20-6158,2,19
378-42-3025,2/12/2021,378-42-3025,378-42-3025,12,21
866-63-2228,6/1/2022,866-63-2228,866-63-2228,36,32
540-71-9846,24/11/2021,540-71-9846,540-71-9846,28,35
897-32-5821,22/8/2020,897-32-5821,897-32-5821,44,5
580-48-5304,20/4/2021,580-48-5304,580-48-5304,23,58
451-82-4096,6/5/2020,451-82-4096,451-82-4096,56,16
840-23-3858,9/4/2020,840-23-3858,840-23-3858,34,54
581-20-0248,18/1/2022,581-20-0248,581-20-0248,9,9
841-62-4285,7/12/2020,841-62-4285,841-62-4285,34,10
598-84-2863,23/1/2021,598-84-2863,598-84-2863,5,13
614-82-7275,30/10/2020,614-82-7275,614-82-7275,20,24
