codicefiscale,codicetessera,ente,saldo,puntimensili,datainaut
432-72-7265,61000,vhuefgoxbri,57,52,31/5/2021
867-72-9368,62000,nchyhnhvdfg,46,40,6/9/2021
544-31-9668,63000,wrmfpdvjpux,58,41,7/2/2022
432-84-9053,64000,fctqnbnnhfd,44,36,29/3/2022
594-43-8402,65000,secgftymboe,6,55,15/11/2021
782-03-1555,66000,xfpazglmqga,12,30,18/6/2020
622-92-2826,67000,tmlimknikcf,27,30,4/9/2021
593-04-7122,68000,dvcmetivdoy,56,47,17/3/2020
316-66-6642,69000,cxepokybcbx,40,45,9/7/2020
591-98-6710,70000,ujkckqvbbxu,27,37,17/8/2021
122-27-1680,71000,zwnkfaervfj,19,32,17/6/2021
753-92-9992,72000,derxsxfoyzk,28,54,20/5/2022
880-35-1306,73000,gcawztlbnum,56,58,20/4/2020
164-68-1325,74000,oswilyhurgy,17,54,27/6/2022
321-86-6917,75000,lpweyqutlzd,46,43,20/4/2022
827-59-5617,76000,dyvuiegbpsq,5,31,16/2/2022
692-33-7007,77000,yebfaiqyess,19,31,31/5/2021
634-70-0127,78000,sfdsapnjumg,43,37,18/5/2020
627-73-3119,79000,ytelepvlycq,12,34,15/9/2021
365-96-7366,80000,ivfszqzcdof,57,37,7/11/2021
490-67-7295,81000,hjaktylgqld,33,30,21/8/2020
289-46-8677,82000,xrzxmdwsukj,17,44,13/5/2020
553-71-8412,83000,fclhhvayzdw,41,45,15/1/2021
202-66-2839,84000,adscpprscht,56,54,9/4/2022
398-97-1928,85000,iinkqegjrvt,18,44,31/1/2021
418-27-2425,86000,yxjahvdvlph,51,35,19/11/2020
129-70-9974,87000,cysabhhdfjn,59,42,7/11/2021
414-69-0067,88000,mlnqpbbntjx,37,30,15/1/2021
556-20-6158,89000,htskcuggrnm,49,53,8/5/2020
378-42-3025,90000,pysnuzdqwiq,14,33,17/1/2022
866-63-2228,91000,vluvapfcqhw,23,36,1/8/2021
540-71-9846,92000,pqmgslfzlvd,45,52,29/8/2020
897-32-5821,93000,izctmglztrd,56,57,8/1/2021
580-48-5304,94000,tmhedhmmwwg,49,60,2/9/2020
451-82-4096,95000,izuzgcseifu,26,48,26/5/2021
840-23-3858,96000,afzbxzeqljq,32,59,17/3/2021
581-20-0248,97000,xqlyfvxcvtf,31,35,20/8/2021
841-62-4285,98000,jrymlfzmkld,39,52,24/11/2020
598-84-2863,99000,baghizzjfsd,46,55,20/8/2020
614-82-7275,100000,cvlkldygngm,50,48,10/2/2020
827-09-1432,101000,ppkbvwvftgp,58,53,6/8/2021
828-54-3917,102000,snloczdcisc,32,32,9/9/2021
610-93-6780,103000,figbvctrwyg,14,53,31/8/2020
619-70-4346,104000,nszvormynqu,19,32,30/5/2021
871-95-3561,105000,udsmgdcdyck,35,50,1/1/2021
688-44-1726,106000,xfthtgxiyjd,43,48,26/3/2021
154-57-9816,107000,ziksobzihbt,11,51,5/3/2020
311-58-1019,108000,ienkyngflfh,50,56,9/3/2021
451-87-5221,109000,cmzhuqbecoz,32,44,10/6/2022
883-52-7646,110000,ibtalimmtre,27,45,28/11/2021
321-35-6753,111000,qnuarxniiqm,38,50,19/5/2020
683-23-7281,112000,bgodenblwvf,46,32,9/1/2022
747-59-7753,113000,xunxagwujwg,53,30,10/10/2021
345-82-7852,114000,cfthkccooez,36,41,21/4/2022
447-91-7026,115000,etvpnmqcmpx,38,44,7/8/2020
859-35-1470,116000,lowrsqqrqci,26,48,21/3/2022
122-76-8283,117000,nrgjnnnpflr,39,30,1/1/2021
790-46-0049,118000,ikcsicnhsup,59,40,13/12/2021
367-67-9425,119000,xdeviqkekwg,33,38,1/8/2020
332-87-7974,120000,cddnyfzfags,38,32,22/1/2021
837-95-4903,121000,mhxgypmnqbp,27,40,17/7/2020
539-26-8444,122000,rcagtklpwod,7,43,6/9/2020
897-58-0602,123000,dxmqnjejswt,18,33,16/4/2020
571-20-2308,124000,hsygnnkejhu,40,35,30/3/2022
767-86-0311,125000,dxkjxxrjudy,1,58,21/6/2021
853-34-3911,126000,vrotmuruuqp,25,48,20/6/2022
822-11-3038,127000,xuexonxbvpc,42,49,3/3/2020
173-23-6145,128000,wuuiooejsak,42,49,21/9/2021
484-11-0055,129000,emsomkctqwv,47,60,20/11/2020
479-77-7026,130000,zwplkienueg,30,41,15/12/2021
495-53-3676,131000,xejsanqqoug,60,50,14/7/2021
696-22-6985,132000,cehfhsgkphr,55,50,6/2/2020
759-38-5871,133000,rbwyinjqugz,2,47,2/11/2021
639-95-9107,134000,gdcdyspijim,49,53,16/6/2022
196-41-8946,135000,khlcoicvdlv,2,34,18/6/2020
403-98-8638,136000,zzaxrzxuljj,51,32,17/1/2022
423-57-5437,137000,utwfcovcugk,5,38,17/5/2020
217-25-8914,138000,curkfmmoptz,8,48,25/7/2021
569-21-7769,139000,iqpflhdzwds,11,37,21/11/2021
799-37-5651,140000,ifndeaebzpg,22,46,3/7/2021
333-53-4080,141000,vraioetjizr,21,38,19/4/2022
435-11-7201,142000,tdvaigutjqm,34,54,21/5/2022
234-85-2267,143000,zidsqsgzinl,6,57,22/6/2022
477-52-5020,144000,wjwvzicmvtt,43,47,5/4/2021
399-85-1659,145000,unlycctbrjy,23,35,20/2/2020
221-86-4191,146000,rhaoabdgwyn,10,46,2/5/2021
644-25-6338,147000,ozvsjlkptku,39,52,3/3/2022
255-49-0171,148000,llhethbfcda,20,37,2/5/2022
532-25-4264,149000,pngwespsisd,26,50,24/7/2021
377-61-7716,150000,lzbjenmbexd,59,47,15/2/2022
809-62-6190,151000,xablxbhvgwn,14,54,23/6/2020
584-49-3524,152000,pzcbiprojvi,17,40,20/6/2021
831-56-3859,153000,aywnpmjfqgj,5,56,24/11/2020
448-13-6489,154000,ijpemdypizq,48,44,5/12/2020
302-14-4748,155000,bjhxzxnrhat,40,60,24/8/2021
662-73-5838,156000,inhfwqmmzkw,27,45,24/12/2020
705-07-0613,157000,ivkfsgqeexd,28,60,11/12/2021
370-55-5648,158000,uessxgbimfy,18,38,7/10/2020
804-41-8350,159000,asbqtriwbpt,54,52,12/7/2021
182-73-0852,160000,kkzumdydvtp,4,53,8/8/2021
186-36-3852,161000,jvrnbzegedu,47,44,10/6/2022
140-32-0911,162000,adqqyskrvrb,29,32,6/1/2022
322-83-0045,163000,muyaqjkjedt,54,33,16/6/2020
807-34-3527,164000,inpxepywkjx,11,56,7/4/2020
523-77-5787,165000,ovzazaifwmc,5,45,9/11/2021
541-89-7464,166000,nvkxmqloaal,30,51,31/5/2021
848-21-4647,167000,dssxiywnwza,3,40,23/5/2020
123-25-4093,168000,pzgdfgjnvsg,9,46,27/5/2020
754-09-1256,169000,zunmtucrzun,24,59,17/4/2020
785-16-9099,170000,jmehoxluvug,27,37,13/12/2021
429-89-8592,171000,tsspjobamwj,33,56,20/11/2020
846-42-0236,172000,dhnwdusnaki,37,47,23/8/2020
568-93-4443,173000,ycqcjgvbmro,25,58,13/1/2021
338-53-9477,174000,uonydpczfmr,57,51,21/4/2022
522-44-8085,175000,xzfkeyhohlx,19,50,10/4/2021
118-84-8040,176000,zgmcjbcuyve,29,49,2/5/2020
886-12-7377,177000,xakdgrfhkdh,56,42,20/3/2022
180-69-2929,178000,dlnnuwdwgiu,19,37,22/6/2020
514-69-8732,179000,cjdvawgjdkn,60,32,21/11/2020
361-53-7338,180000,ybybouwjsjd,51,51,15/5/2022
586-43-6024,181000,ugjsmvgpjml,17,40,16/10/2021
490-19-5214,182000,pwssdivwkyz,25,57,18/5/2021
803-11-9312,183000,fkrlxcnuirc,44,47,22/2/2021
712-95-0224,184000,mradhmvfvfj,20,30,16/12/2021
835-92-0965,185000,pwjibkbvktw,52,58,7/5/2022
401-47-0279,186000,mgduwjbydii,43,49,2/3/2020
195-81-3519,187000,qkpocybwrbd,3,39,21/4/2022
601-55-5898,188000,htwhglvpzwn,59,54,21/10/2020
505-92-7042,189000,ngrdgykxxli,18,58,10/11/2021
129-46-0938,190000,fmtbefkammk,12,38,26/1/2021
216-35-7520,191000,qvpcksmopxh,9,54,2/1/2022
130-69-2796,192000,ipfpmophzze,45,45,12/10/2020
467-15-4469,193000,ybgukwjwlqj,42,52,20/2/2021
355-52-7026,194000,cyolwzgiliq,51,32,1/9/2021
735-87-7985,195000,hdhpwlkdssu,3,31,12/10/2020
768-52-2155,196000,bcleentpmxf,57,35,19/5/2022
553-88-0799,197000,bhleziqzknk,29,30,27/4/2022
573-22-5784,198000,risgapjwqwa,28,37,26/2/2021
349-23-4199,199000,ybeaqsvriet,5,31,2/2/2021
670-55-2685,200000,yhcuijiacqb,36,34,27/7/2020
558-82-5561,201000,lnoiktfleio,54,39,22/8/2021
871-93-1103,202000,jusrposfxtu,34,58,4/8/2020
126-48-2394,203000,gvhqfmqpppj,2,53,15/1/2022
218-20-9451,204000,ggszseyfiig,39,39,23/8/2020
704-89-5002,205000,ivexhndfzob,2,38,29/11/2021
253-97-0348,206000,rcdkwmobxbn,47,40,17/7/2021
521-95-5443,207000,nisrsztpatv,52,35,21/2/2020
455-55-8619,208000,myomumzfbqv,36,43,22/11/2021
787-94-9549,209000,fqrxgvukurb,34,57,16/8/2021
481-33-7874,210000,igwyclmeuqo,12,51,7/3/2021
838-91-5959,211000,jtaejfsqpgt,16,55,10/11/2020
508-14-3059,212000,qiywbvlupqq,21,34,28/10/2021
147-82-0816,213000,lhgtbjsaetm,20,55,11/9/2021
409-46-2137,214000,gymuiyyyxov,51,60,28/6/2020
488-03-1663,215000,hdzzmwabmbk,37,45,8/3/2021
285-49-6857,216000,pnvpprfhxic,44,50,7/12/2020
411-18-0588,217000,viqqinsdtuo,7,33,7/3/2022
415-94-3607,218000,kejrsxazfpb,47,51,8/4/2020
738-48-9483,219000,kgrndgdyxzq,21,30,15/7/2020
766-91-8446,220000,nirfetomfri,11,41,17/12/2021
500-20-5136,221000,wylskajvtan,3,54,7/10/2020
235-91-0673,222000,kycwccmqqpw,20,51,12/3/2021
868-12-4076,223000,vbfhllyltus,51,34,27/5/2022
762-19-1147,224000,ogngcoxnvnf,46,33,20/5/2021
255-48-6984,225000,irgapwuqzev,4,36,5/4/2022
132-12-8939,226000,kcxiyrkzmng,17,34,25/4/2021
428-43-1896,227000,gjesouflxro,17,52,26/4/2021
509-14-6705,228000,dopkgmhiafk,18,58,30/5/2021
621-53-1855,229000,zuggixrleyt,1,30,3/1/2021
745-06-5914,230000,mywrtosnnlq,45,48,20/7/2020
167-75-0594,231000,iivtdwysnwx,49,46,1/5/2021
288-64-3387,232000,hjkifkhppza,10,46,6/5/2021
576-26-6139,233000,fqocbjegorj,35,45,4/4/2020
865-39-7974,234000,tfwqkneagna,12,45,12/3/2020
564-19-4286,235000,bpihtikjjog,7,40,7/5/2020
520-63-0412,236000,cvxkolhjzwl,56,58,5/11/2021
368-71-3521,237000,lciutltepzb,47,56,18/10/2021
883-57-1483,238000,jrqgjjazqol,14,44,12/2/2022
113-09-4903,239000,kuquefmdyuy,39,56,3/11/2021
853-61-8722,240000,fxdcwdwzolu,46,60,20/11/2020
609-77-2350,241000,ujffmeotiri,21,54,2/12/2021
292-86-2669,242000,goowcvtnrcz,39,44,2/7/2021
347-82-8378,243000,ftywncqwouo,51,49,10/1/2021
505-66-4179,244000,kouznnhybek,1,38,27/12/2021
805-19-6463,245000,sfqhwkexzcj,11,52,13/8/2021
583-25-8573,246000,iwbusxpfawg,30,30,24/11/2020
733-50-7639,247000,xmycrqyqrjz,23,54,3/7/2022
698-45-5691,248000,szpgspgvibs,20,35,3/11/2020
503-24-4190,249000,zcgrltdgjly,25,37,6/9/2021
232-77-2650,250000,brimhuepxyl,7,59,18/12/2020
816-15-7526,251000,ybkaahxbfkd,11,46,21/1/2022
310-05-1622,252000,oloiepcbdyo,59,36,28/5/2021
289-22-7249,253000,vaomnkelttv,16,41,25/5/2020
220-68-1108,254000,ijutycugqsn,45,55,11/6/2020
224-88-4256,255000,vhjfmxcochd,1,59,12/3/2022
298-86-7704,256000,jprsqbjmyeo,53,52,26/11/2021
532-30-2240,257000,tcqxcehkfha,9,56,14/1/2022
443-90-4239,258000,pljwboqjrub,60,55,9/6/2021
516-93-8856,259000,pdsbjsbksby,7,38,19/3/2021
559-60-1093,260000,icoeyrcgywd,1,44,11/4/2022
545-27-0627,261000,xdtqpbossmo,14,49,1/11/2021
723-25-1641,262000,cejbmapxqxe,34,32,23/3/2020
680-66-6015,263000,kjljtllvvlc,42,43,13/7/2020
361-62-9166,264000,fitmbpprzdz,40,51,22/9/2021
837-78-3730,265000,wqwgeklnyon,10,38,2/3/2020
627-89-6197,266000,mvbzgfcbkmg,8,54,28/10/2020
237-97-9128,267000,mvviacnnzpy,4,35,21/6/2020
259-80-7201,268000,qzdlcnafufu,27,36,15/7/2022
254-92-2680,269000,mrzefvuvoin,32,45,15/2/2020
268-25-5169,270000,wgbnuwunjjk,57,50,19/4/2021
591-68-4376,271000,afrzwjomibl,41,37,8/7/2020
428-61-2499,272000,wgwhbufykth,55,42,16/12/2021
401-76-5565,273000,qolychdimkl,40,34,12/12/2020
157-89-5410,274000,rjnlknwhabn,53,51,15/6/2020
544-62-5941,275000,voipdnwlbax,51,30,29/12/2021
436-35-3182,276000,iimemrrktin,25,60,16/3/2021
867-47-7474,277000,pcvztenvmeo,22,46,1/5/2021
448-68-8829,278000,giqsogbngda,24,33,27/7/2021
749-97-2591,279000,nzaoyajrloj,52,49,11/3/2020
496-04-8941,280000,oxisgwqcaxh,55,33,30/3/2022
850-50-8825,281000,cujnvkjgoaj,8,46,14/8/2021
373-18-0614,282000,hqhbzbvupst,38,42,3/2/2021
599-63-6491,283000,aunuonkwkuu,13,59,26/2/2020
207-37-0577,284000,htkodiwtmjp,13,31,20/12/2021
222-68-6706,285000,iojvfvclixg,50,51,10/5/2020
660-29-4941,286000,czbmmerptgf,3,50,28/1/2021
621-26-0799,287000,lsgcjhbmxuy,15,44,29/1/2021
739-60-2221,288000,axdtgpkacvh,37,43,24/9/2021
125-05-0128,289000,gyyxqnyzpob,49,33,17/2/2021
773-02-0739,290000,gymvfbxraqn,47,40,4/2/2021
488-60-9659,291000,ubqexjhqakd,44,45,24/5/2020
654-75-9350,292000,osoijhzbkfq,36,39,13/11/2020
558-11-5876,293000,iebvhiscbqj,2,30,21/7/2021
159-15-8431,294000,fodrqhkgnpo,4,44,24/11/2021
759-65-1487,295000,xzbttxlpedw,20,58,8/4/2022
318-80-0452,296000,fwoxrzlcmvs,18,39,28/6/2022
403-59-5126,297000,atpywrbrpvs,10,53,28/2/2020
357-85-3091,298000,kkjcnamcral,36,49,11/3/2020
413-07-2650,299000,pejkclviubv,33,47,19/2/2021
345-54-0029,300000,prkcejsvazy,3,33,14/5/2022
668-51-0370,301000,qvnuacrdaio,52,51,10/11/2021
425-03-1105,302000,vpgyocpftbk,3,31,9/5/2022
748-51-7022,303000,dksllosqvwn,5,38,1/6/2020
241-06-3092,304000,nsavdhuwdrh,46,45,4/1/2022
838-79-4121,305000,lphilnpqzvp,29,48,1/7/2022
690-89-6769,306000,gpfoebkqwwy,27,45,29/10/2020
672-99-8942,307000,nesjkglcmnv,23,49,23/3/2022
894-80-9200,308000,jrugemnwtgp,15,54,30/5/2022
510-21-1863,309000,ztldaeenpcv,34,40,5/6/2021
886-63-6886,310000,yjgrlytxiff,11,32,27/8/2020
592-65-0822,311000,uwnsbxvzusv,27,32,28/12/2020
305-92-9019,312000,jxjmrgnbynr,43,50,8/11/2021
502-15-0012,313000,elrxjjnqcrf,7,60,21/11/2020
825-41-5699,314000,xvvdfdwieir,2,52,20/2/2021
339-47-7811,315000,ucvdskqrqgu,2,56,10/6/2021
480-56-0636,316000,vtcmpmccufm,36,40,1/9/2021
118-12-5731,317000,gyaobojhxhr,28,57,30/7/2021
584-45-8646,318000,jcwjzsznjly,24,38,8/8/2021
811-21-7904,319000,lnxiboldzpt,58,30,19/6/2022
333-80-2049,320000,qauydfpmnua,48,56,14/9/2020
634-18-8900,321000,xhsuxgjcspw,3,48,5/10/2020
636-54-1656,322000,sgacxkvbzsu,19,49,7/4/2020
252-12-2739,323000,ntttdbwugje,28,53,6/7/2020
450-88-6726,324000,vsjufigunty,52,39,16/7/2021
489-76-6500,325000,pyawtalwxyr,33,30,25/2/2021
304-80-0793,326000,tpvennauckh,60,34,12/12/2020
657-03-0872,327000,mrwizpqpnsn,24,54,14/5/2021
141-62-5733,328000,paonkqupmmc,52,59,30/7/2020
342-29-9433,329000,pouyshkzzef,51,37,28/2/2020
391-49-4801,330000,sqtheetweuk,3,58,9/3/2022
711-19-1987,331000,vibsxxlmybv,3,53,12/5/2022
843-68-0339,332000,phkzdkmzrmy,55,32,18/9/2020
525-81-5131,333000,imwbobsfmue,45,32,15/2/2022
430-59-5626,334000,vuzufntghsu,57,38,22/1/2022
121-56-3053,335000,viqnqkrypyi,40,31,8/7/2022
823-31-8430,336000,wvthvpaluna,31,36,22/9/2020
306-26-5238,337000,nrpxddwztft,48,47,4/6/2020
140-30-8358,338000,jzsbnwtffkp,22,34,18/9/2021
600-49-3633,339000,lpiisjaclga,4,49,2/8/2020
779-21-6676,340000,kvtroxgisgn,7,57,26/2/2021
748-77-9984,341000,ssnxoqavlmw,55,60,7/3/2020
210-92-6545,342000,gslbgsfchgq,21,55,10/4/2020
366-35-5327,343000,gyrvcfaoykx,49,57,7/2/2021
378-89-0235,344000,czgrovwanbz,23,34,16/2/2020
761-02-3102,345000,zwncngedzzv,53,54,26/11/2020
880-47-9942,346000,zcllrexdwzh,3,41,20/4/2020
149-60-7833,347000,iozdicqbewc,21,50,11/4/2022
159-88-5910,348000,fgqgeoxlbyr,26,37,5/11/2021
607-80-0536,349000,egvxhymkluu,59,35,18/8/2021
337-95-1574,350000,ljephjiucfy,56,38,29/6/2022
154-06-7182,351000,czicqnnjpnb,38,48,31/5/2022
870-11-1687,352000,mdtlecoywqx,49,43,31/3/2021
647-73-2486,353000,kaesugdwixm,8,30,30/5/2020
499-44-2244,354000,eufzfywpjyf,30,57,9/6/2021
279-23-1878,355000,evpsvslftid,7,37,15/11/2020
559-60-8707,356000,edolwwpvafc,35,47,29/1/2021
181-44-6205,357000,glxfgiiqwkw,43,34,29/3/2020
362-84-5682,358000,arvhulkfksn,9,45,31/8/2020
668-99-0484,359000,cpvaldgwvvm,31,57,13/11/2021
515-03-4963,360000,ooectnyjojg,53,31,9/6/2020
894-97-0092,361000,uwkdzfvnpfj,30,58,9/9/2020
489-82-2141,362000,ixmlrratmey,16,34,9/7/2020
452-66-5725,363000,rpbtroufhjv,43,55,14/9/2020
197-89-9457,364000,artzooilkvr,10,51,6/8/2021
214-77-0843,365000,rlxonhlcsrj,13,45,19/9/2021
295-51-3628,366000,bqmglclzghh,52,47,21/5/2022
514-89-9325,367000,rvmjzifmhku,50,30,1/5/2020
422-94-4122,368000,zchrraibssn,56,43,22/10/2021
173-36-5576,369000,gmglzqvvequ,50,48,28/6/2020
681-29-8632,370000,sptojbzonak,26,46,21/4/2020
453-15-5816,371000,vdcdluvwruj,59,40,15/3/2021
449-29-9693,372000,opxybiqelek,14,59,17/3/2021
392-08-7988,373000,nhwvgfjkdli,42,57,11/3/2020
604-43-7646,374000,eblundzdzog,12,42,9/11/2020
133-45-8943,375000,ipnkwyzuppi,28,32,3/6/2022
231-06-0494,376000,mqsetrshuro,45,48,1/1/2021
150-90-9753,377000,kphjhsmhwvl,57,56,25/5/2020
559-54-4403,378000,btjggmmdohw,59,52,23/3/2021
411-05-5231,379000,woprtrvkrvq,35,59,16/12/2021
793-86-9258,380000,nmfqjrflxmc,41,51,26/10/2021
455-83-0275,381000,lbrwiyoyqav,13,54,16/5/2020
831-82-8444,382000,rsbqsioqncn,17,30,27/5/2022
497-34-0449,383000,ilfkkplbqlt,55,35,30/1/2021
852-60-3162,384000,whvisxrjicg,29,60,20/4/2022
579-79-8716,385000,lwbiwlsgryt,56,56,6/6/2021
841-24-8765,386000,fclzmzchdsh,30,31,8/2/2020
755-83-8331,387000,unraaoyookx,50,59,9/2/2021
134-10-9928,388000,ivbgzrgjexq,56,33,27/5/2021
288-96-5328,389000,pgoayylvfik,10,56,12/4/2021
555-69-5600,390000,lnttfoyigzs,49,56,11/5/2020
759-10-3928,391000,iggpujwwtbt,31,51,10/5/2022
352-29-3200,392000,narjpvmfvkv,21,31,17/7/2022
369-32-5125,393000,oxfsgliaxsr,29,44,4/8/2020
817-33-2462,394000,hvpiumbaalv,28,43,16/6/2022
428-41-2477,395000,owcxyigrnae,23,50,10/4/2020
495-28-7114,396000,febfwsmztxs,7,45,15/12/2021
677-03-6458,397000,exapvqhfurw,36,38,9/2/2022
569-51-6653,398000,scqqlwajatq,58,41,13/7/2020
410-33-8312,399000,mzsnynzxjts,53,48,11/3/2020
393-95-8364,400000,sromwlcmaay,7,50,12/11/2021
788-42-3754,401000,djapjmtzyku,50,37,24/11/2021
281-84-5189,402000,dzrwojnnciq,25,53,11/9/2020
525-37-3633,403000,stbpxckbxjz,60,50,14/5/2022
102-90-4393,404000,rbfalelmoac,49,36,15/2/2022
292-53-0353,405000,mminnwmqupb,35,33,8/4/2020
321-01-9647,406000,dkiavjcznhx,17,41,11/3/2020
668-95-5971,407000,vckcifykbfo,55,31,29/2/2020
426-32-6074,408000,aijsqiuvwzx,48,48,14/3/2020
887-55-1731,409000,upjlwjpupue,1,51,5/4/2020
760-50-1258,410000,kzbfdtwqxcf,27,37,10/4/2022
612-56-9976,411000,ffacrmiluiw,23,45,5/12/2021
566-38-0557,412000,nehzvlxspln,11,59,4/6/2022
139-87-1941,413000,kilqxhgusge,20,47,26/8/2021
274-56-7765,414000,juqxgtolkee,42,58,12/7/2020
784-91-2086,415000,efqlplzpboq,29,30,9/6/2021
240-01-7851,416000,byqwtvsyvrr,32,32,10/7/2020
413-06-8276,417000,ucqzrqfgxxp,56,59,4/9/2021
265-84-8887,418000,wanpcrrlgks,21,57,7/3/2020
864-10-9773,419000,delluqqevmr,15,46,13/8/2021
657-36-7812,420000,pjyvpvjjpox,35,51,4/2/2020
574-41-9677,421000,axzyfvhrtpp,14,48,7/2/2020
612-65-8993,422000,vutrhsltnuf,35,48,1/11/2021
489-57-2835,423000,weubuyxtkqf,10,41,28/11/2021
393-74-4184,424000,zojhjdpfjcl,22,51,6/4/2020
462-73-7062,425000,ftxxcyhsclk,43,40,23/2/2020
508-07-0856,426000,cubmmpcojee,21,45,18/7/2020
226-84-7076,427000,ouznytjfvax,41,43,14/6/2021
327-47-1526,428000,bdklnnhfbqm,53,60,19/7/2022
141-79-6690,429000,lnlothseeai,24,41,9/5/2020
826-87-8607,430000,zhdexvruhgc,38,35,10/12/2020
128-09-5399,431000,vayjbidjcny,16,30,13/12/2021
592-52-7378,432000,rsjfezokuyg,35,34,5/5/2022
662-15-1935,433000,edjzxuihlii,21,39,24/6/2022
582-27-0873,434000,wxabvbrmxgn,55,41,28/2/2020
769-82-2575,435000,snosckzmhdi,54,60,19/3/2020
319-14-7162,436000,dicktlzospt,13,48,21/9/2021
478-12-6473,437000,tdpphdjmpxu,43,30,13/11/2020
552-69-6836,438000,dnjdysjieuc,7,36,5/12/2020
502-83-2611,439000,xtrpnjlitbz,9,30,16/4/2020
510-03-8229,440000,krgduxtoymp,29,35,11/3/2022
218-22-2802,441000,kkepbpchpca,11,42,17/8/2021
853-76-8585,442000,avddcasafqk,58,56,4/2/2020
526-55-2396,443000,fudzpcexarh,15,54,16/7/2021
167-42-8437,444000,prvyqrpqueh,46,44,19/12/2020
653-61-1735,445000,cthqrekfmbr,19,47,2/8/2020
709-21-6573,446000,dtxxijzygry,59,60,27/5/2021
165-12-8816,447000,fvjagslcvdy,40,55,10/11/2020
607-57-8993,448000,lzytgfprrwp,13,45,30/5/2020
395-11-2290,449000,myzpqweojrt,15,60,26/11/2020
330-31-9749,450000,ckmymlqjeeo,43,52,6/6/2020
449-17-1321,451000,kgtucnixalb,49,56,19/4/2022
560-90-9842,452000,fqlayqhtypn,7,49,12/4/2021
