codicefiscale,codicetessera,ente,saldo,puntimensili,datainaut
432-72-7265,61000,exbokiepcwf,39,41,21/7/2022
867-72-9368,62000,tcsumsfsmmc,46,35,6/2/2022
544-31-9668,63000,ibyyityyojw,3,57,21/12/2021
432-84-9053,64000,tgchsptmokm,50,32,1/7/2022
594-43-8402,65000,xglvaenpunr,46,52,1/3/2020
782-03-1555,66000,cbshaapthhm,45,44,17/7/2022
622-92-2826,67000,uubzvuzkgfh,34,58,18/7/2022
593-04-7122,68000,tvhqrjdqdij,35,43,30/7/2020
316-66-6642,69000,upulyuwuizc,8,38,7/6/2021
591-98-6710,70000,lcznbpvnnpj,38,56,7/2/2020
122-27-1680,71000,ydjacwaprnq,19,37,2/3/2020
753-92-9992,72000,khmchvxilwn,18,33,15/4/2021
880-35-1306,73000,duvmjeetjhx,9,49,2/11/2020
164-68-1325,74000,canbkmbtayo,37,44,9/12/2020
321-86-6917,75000,jqqalbvrnmm,54,32,31/1/2022
827-59-5617,76000,vwjkugacgsa,14,50,22/6/2022
692-33-7007,77000,zbzajknkpzf,24,58,13/4/2020
634-70-0127,78000,orlqtsoqxht,20,46,9/6/2022
627-73-3119,79000,jbkttphswtv,26,38,8/6/2020
365-96-7366,80000,xajnfdlyzmu,20,50,7/11/2021
490-67-7295,81000,fauazmpfpbg,29,60,12/11/2021
289-46-8677,82000,mlwwdkeafez,51,38,17/6/2020
553-71-8412,83000,tnjzmhcyadp,30,36,15/9/2021
202-66-2839,84000,eqnymugkfia,21,45,17/3/2022
398-97-1928,85000,yxqmwvxbkst,11,39,16/9/2021
418-27-2425,86000,fjqvnmsidse,40,57,29/4/2020
129-70-9974,87000,mxpentarsuv,28,59,30/8/2020
414-69-0067,88000,bfgzpatfoaj,15,39,1/11/2021
556-20-6158,89000,frmcvvoqbmr,41,39,11/1/2021
378-42-3025,90000,wqrpoklfygp,3,33,5/2/2021
866-63-2228,91000,terfkoumddb,3,47,19/4/2020
540-71-9846,92000,avjstzcyhfj,39,52,22/4/2020
897-32-5821,93000,quhcfcfbmdl,34,48,25/1/2022
580-48-5304,94000,eejlfsbshzd,11,51,19/2/2022
451-82-4096,95000,erzfoyzgntu,2,32,3/12/2020
840-23-3858,96000,ijfaklrqpap,24,47,7/12/2020
581-20-0248,97000,cvrgvdnlijo,19,35,25/3/2021
841-62-4285,98000,niklkzxcjjs,22,51,31/10/2021
598-84-2863,99000,nkkvqoczeax,1,44,24/6/2022
614-82-7275,100000,ikmjvfbtbwe,7,43,25/4/2021
